Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
6.274837E+02	0.000000E+00	1.000000E-03	2.000000E+01
8.674556E+02	1.000000E-01	1.000000E-03	2.000000E+01
6.823497E+02	0.000000E+00	1.000000E-02	2.000000E+01
9.433043E+02	1.000000E-01	1.000000E-02	2.000000E+01
7.372157E+02	0.000000E+00	1.000000E-01	2.000000E+01
1.019153E+03	1.000000E-01	1.000000E-01	2.000000E+01
7.920817E+02	0.000000E+00	1.000000E+00	2.000000E+01
1.095002E+03	1.000000E-01	1.000000E+00	2.000000E+01
8.469477E+02	0.000000E+00	1.000000E+01	2.000000E+01
1.170850E+03	1.000000E-01	1.000000E+01	2.000000E+01
9.018137E+02	0.000000E+00	1.000000E+02	2.000000E+01
1.246699E+03	1.000000E-01	1.000000E+02	2.000000E+01
9.566797E+02	0.000000E+00	1.000000E+03	2.000000E+01
1.322548E+03	1.000000E-01	1.000000E+03	2.000000E+01
6.246500E+02	0.000000E+00	1.000000E-03	2.500000E+01
8.635382E+02	1.000000E-01	1.000000E-03	2.500000E+01
6.792683E+02	0.000000E+00	1.000000E-02	2.500000E+01
9.390444E+02	1.000000E-01	1.000000E-02	2.500000E+01
7.338865E+02	0.000000E+00	1.000000E-01	2.500000E+01
1.014551E+03	1.000000E-01	1.000000E-01	2.500000E+01
7.885047E+02	0.000000E+00	1.000000E+00	2.500000E+01
1.090057E+03	1.000000E-01	1.000000E+00	2.500000E+01
8.431229E+02	0.000000E+00	1.000000E+01	2.500000E+01
1.165563E+03	1.000000E-01	1.000000E+01	2.500000E+01
8.977412E+02	0.000000E+00	1.000000E+02	2.500000E+01
1.241069E+03	1.000000E-01	1.000000E+02	2.500000E+01
9.523594E+02	0.000000E+00	1.000000E+03	2.500000E+01
1.316575E+03	1.000000E-01	1.000000E+03	2.500000E+01
6.220132E+02	0.000000E+00	1.000000E-03	3.000000E+01
8.598930E+02	1.000000E-01	1.000000E-03	3.000000E+01
6.764009E+02	0.000000E+00	1.000000E-02	3.000000E+01
9.350804E+02	1.000000E-01	1.000000E-02	3.000000E+01
7.307886E+02	0.000000E+00	1.000000E-01	3.000000E+01
1.010268E+03	1.000000E-01	1.000000E-01	3.000000E+01
7.851762E+02	0.000000E+00	1.000000E+00	3.000000E+01
1.085455E+03	1.000000E-01	1.000000E+00	3.000000E+01
8.395639E+02	0.000000E+00	1.000000E+01	3.000000E+01
1.160643E+03	1.000000E-01	1.000000E+01	3.000000E+01
8.939516E+02	0.000000E+00	1.000000E+02	3.000000E+01
1.235830E+03	1.000000E-01	1.000000E+02	3.000000E+01
9.483392E+02	0.000000E+00	1.000000E+03	3.000000E+01
1.311018E+03	1.000000E-01	1.000000E+03	3.000000E+01
6.194459E+02	0.000000E+00	1.000000E-03	3.500000E+01
8.563439E+02	1.000000E-01	1.000000E-03	3.500000E+01
6.736091E+02	0.000000E+00	1.000000E-02	3.500000E+01
9.312210E+02	1.000000E-01	1.000000E-02	3.500000E+01
7.277723E+02	0.000000E+00	1.000000E-01	3.500000E+01
1.006098E+03	1.000000E-01	1.000000E-01	3.500000E+01
7.819355E+02	0.000000E+00	1.000000E+00	3.500000E+01
1.080975E+03	1.000000E-01	1.000000E+00	3.500000E+01
8.360987E+02	0.000000E+00	1.000000E+01	3.500000E+01
1.155852E+03	1.000000E-01	1.000000E+01	3.500000E+01
8.902619E+02	0.000000E+00	1.000000E+02	3.500000E+01
1.230729E+03	1.000000E-01	1.000000E+02	3.500000E+01
9.444251E+02	0.000000E+00	1.000000E+03	3.500000E+01
1.305607E+03	1.000000E-01	1.000000E+03	3.500000E+01
